iterative,1,2000,0:4:242.242041
iterative,1,2048,0:2:157.157729
iterative,1,2096,0:3:187.187056
iterative,1,2144,0:3:184.184279
iterative,1,2192,0:3:231.231667
iterative,1,2240,0:9:563.563512
iterative,1,2288,0:8:528.528087
Strassen,1,2000,0:40:2457.2457850
Strassen,1,2048,0:40:2446.2446378
Strassen,1,2096,4:285:17109.17109721
Strassen,1,2144,4:287:17265.17265855
Strassen,1,2192,7:434:26097.26097455
Strassen,1,2240,10:610:36616.36616663
Strassen,1024,2000,0:0:36.36082
Strassen,1024,2048,0:0:34.34317
Strassen,1024,2096,0:4:255.255614
Strassen,1024,2144,0:4:244.244831
Strassen,1024,2192,0:8:509.509719
Strassen,1024,2240,0:10:629.629836
Strassen,128,2000,0:0:9.9971
Strassen,128,2048,0:0:9.9956
Strassen,128,2096,0:1:69.69084
Strassen,128,2144,0:1:68.68857
Strassen,128,2192,0:2:153.153832
Strassen,128,2240,0:2:160.160152
Strassen,16,2000,0:0:19.19146
Strassen,16,2048,0:0:19.19027
Strassen,16,2096,0:2:124.124673
Strassen,16,2144,0:2:130.130424
Strassen,16,2192,0:4:277.277075
Strassen,16,2240,0:4:279.279458
Strassen,2,2000,0:8:513.513486
Strassen,2,2048,0:8:513.513117
Strassen,2,2096,1:60:3616.3616489
Strassen,2,2144,0:59:3583.3583406
Strassen,2,2192,2:126:7560.7560196
Strassen,2,2240,2:125:7550.7550173
Strassen,2048,2096,0:19:1142.1142913
Strassen,2048,2144,0:22:1361.1361726
Strassen,2048,2192,0:42:2537.2537847
Strassen,2048,2240,0:44:2664.2664498
Strassen,256,2000,0:0:13.13637
Strassen,256,2048,0:0:16.16270
Strassen,256,2096,0:1:106.106832
Strassen,256,2144,0:1:107.107333
Strassen,256,2192,0:3:235.235557
Strassen,256,2240,0:3:193.193053
Strassen,32,2000,0:0:12.12476
Strassen,32,2048,0:0:12.12105
Strassen,32,2096,0:1:76.76554
Strassen,32,2144,0:1:76.76352
Strassen,32,2192,0:1:97.97409
Strassen,32,2240,0:2:176.176805
Strassen,4,2000,0:2:131.131724
Strassen,4,2048,0:2:130.130051
Strassen,4,2096,0:15:926.926027
Strassen,4,2144,0:15:931.931058
Strassen,4,2192,0:31:1916.1916593
Strassen,4,2240,0:32:1975.1975998
Strassen,512,2000,0:0:20.20093
Strassen,512,2048,0:0:18.18314
Strassen,512,2096,0:2:131.131614
Strassen,512,2144,0:2:128.128397
Strassen,512,2192,0:4:285.285723
Strassen,512,2240,0:4:274.274742
Strassen,64,2000,0:0:9.9889
Strassen,64,2048,0:0:10.10128
Strassen,64,2096,0:1:69.69756
Strassen,64,2144,0:1:70.70521
Strassen,64,2192,0:2:154.154533
Strassen,64,2240,0:2:157.157782
Strassen,8,2000,0:0:42.42274
Strassen,8,2048,0:0:40.40322
Strassen,8,2096,0:4:285.285008
Strassen,8,2144,0:4:287.287438
Strassen,8,2192,0:10:628.628109
Strassen,8,2240,0:9:553.553042
